run_index,chaos_region,Lyapunov_exponent,predictive_information,statistical_complexity,n_causal_states,te_total,graph_entropy_node,graph_entropy_edge,graph_entropy_vn,n_communities
0,strong_chaos,0.15577225387096405,1.2484396516321152,1.5281526045633216,6,0.0360085261054337,0.6899995803833008,0.6899995803833008,0.6778064966201782,1
1,strong_chaos,0.1749785989522934,1.2625214375495881,1.5187530921918506,6,0.036259261425584555,0.6924128532409668,0.6924128532409668,0.5996624231338501,1
2,strong_chaos,0.13121385872364044,1.2562086923564282,1.456117883725949,5,0.03323721117340028,0.6931465864181519,0.6931465864181519,-0.0,2
3,strong_chaos,0.08746498078107834,1.2676926845415746,1.3862925401293325,4,0.037863911245949566,0.5492885708808899,0.5492885708808899,0.5301240682601929,1
4,strong_chaos,0.12650921940803528,1.2628809606042894,1.3862925401293325,4,0.03094269405119121,0.687637209892273,0.687637209892273,0.5868551731109619,1
5,weak_chaos,0.06233201175928116,1.2500459918323918,1.532535432908009,6,0.09582311939448118,0.651622474193573,0.651622474193573,0.5837919116020203,1
6,intermediate,0.07126909494400024,1.2701873408227518,1.3862925401293325,4,0.07537353178486228,0.6915313601493835,0.6915313601493835,0.6081616282463074,1
7,strong_chaos,0.10347089916467667,1.2597250082065847,1.4536068476035109,5,0.03293535765260458,0.6307358741760254,0.6307358741760254,0.615343451499939,1
8,strong_chaos,0.11537329852581024,1.259309150956909,1.3862925401293325,4,0.030816039768978953,0.6619676947593689,0.6619676947593689,0.6482203006744385,1
9,strong_chaos,0.0992869958281517,1.2526769369955477,1.5302742304238397,6,0.05396258854307234,0.6761798858642578,0.6761798858642578,-0.0,2
10,strong_chaos,0.08253669738769531,1.254151096593767,1.5281489556118917,6,0.031204471946693957,0.6871891021728516,0.6871891021728516,-0.0,2
11,weak_chaos,0.06209162250161171,1.2562946485440585,1.5281526045633216,6,0.11894617509096861,0.6771458387374878,0.6771458387374878,0.6642314195632935,1
12,weak_chaos,0.06344602257013321,1.2741064477176032,1.3862916278931423,4,0.027784188278019428,0.6616898775100708,0.6616898775100708,0.6479274034500122,1
13,weak_chaos,0.06469033658504486,1.2745615015723324,1.3862925401293325,4,0.02614514739252627,-0.0,0.6894757747650146,3.3757604711581735e-08,1
14,strong_chaos,0.2177729308605194,1.251303797955368,1.5305518559177194,6,0.0625705374404788,0.6579324007034302,0.6579324007034302,0.6439671516418457,1
15,strong_chaos,0.08065994828939438,1.2542761216460343,1.4537623385984955,5,0.021350526832975447,0.6311871409416199,0.6311871409416199,0.6158177256584167,1
16,strong_chaos,0.08316491544246674,1.2657410244645197,1.3862888911779023,4,0.03525420231744647,0.6896264553070068,0.6896264553070068,-0.0,2
17,intermediate,0.06932077556848526,1.2715776922455506,1.3862925401293325,4,0.09733773209154606,0.6929742693901062,0.6929742693901062,0.6809501647949219,1
18,weak_chaos,0.06731988489627838,1.2730572167534941,1.3862916278931423,4,0.021612283657304943,0.5382249355316162,0.5382249355316162,-0.0,2
19,weak_chaos,0.06410491466522217,1.2782135522279265,1.3862925401293325,4,0.019157509552314878,-0.0,0.6593095660209656,4.1094622815762705e-08,1
20,weak_chaos,0.0662887841463089,1.2745878413804324,1.3862925401293325,4,0.023607941053342074,0.6274523138999939,0.6274523138999939,-0.0,2
21,strong_chaos,0.3554358184337616,1.2625988433553257,1.3862925401293325,4,0.05669932812452316,0.6864299774169922,0.6864299774169922,0.6078538298606873,1
22,strong_chaos,0.07700503617525101,1.2633424813081529,1.3862925401293325,4,0.02488944458309561,0.6924887895584106,0.6924887895584106,0.6804369688034058,1
23,strong_chaos,0.0745011493563652,1.2715753707282695,1.3862925401293325,4,0.03861958719789982,0.6748135089874268,0.6748135089874268,0.6617697477340698,1
24,weak_chaos,0.06324631720781326,1.2806581049469323,1.3862925401293325,4,0.026446507312357426,0.6032391786575317,0.6032391786575317,-0.0,2
25,weak_chaos,0.06534115970134735,1.2800396202967157,1.3862888911779023,4,0.02200664475094527,0.6908786296844482,0.6908786296844482,-0.0,2
26,intermediate,0.07089895009994507,1.2766769062663887,1.3862925401293325,4,0.04127482161857188,0.6876829862594604,0.6876829862594604,0.608237624168396,1
27,intermediate,0.07169017940759659,1.2822929293981715,1.3862925401293325,4,0.04093901929445565,0.6082777976989746,0.6082777976989746,0.5917653441429138,1
28,strong_chaos,0.07821972668170929,1.2676926845415746,1.3862925401293325,4,0.03359641949646175,0.6922061443328857,0.6922061443328857,-0.0,2
29,strong_chaos,0.07482081651687622,1.2715753707282695,1.3862925401293325,4,0.03735153062734753,0.6424838304519653,0.6424838304519653,0.6276986598968506,1
30,weak_chaos,0.06728444248437881,1.2745980535618908,1.3862925401293325,4,0.023076022625900805,0.6858799457550049,0.6858799457550049,0.5830224752426147,1
