class_name,run,start,end,duration,size,area,max_front_radius,front_velocity,fractal_dimension_box,radius_of_gyration,anisotropy
weak_chaos,3,1770,1868,98,0.2643316388130188,98,0.0,0.0,1.0,28.2886905670166,1.0
weak_chaos,3,1919,2018,99,0.2609504461288452,99,0.0,0.0,1.0,28.577381134033203,1.0
weak_chaos,3,2069,2100,31,0.05254063382744789,31,0.0,0.0,1.0,8.9442720413208,1.0
weak_chaos,4,55,119,64,0.05917966738343239,64,0.0,0.0,1.0,18.47295379638672,1.0
weak_chaos,4,210,275,65,0.07778158783912659,65,0.0,0.0,1.0,18.76166343688965,1.0
weak_chaos,4,363,431,68,0.09331632405519485,68,0.0,0.0,1.0,19.62778663635254,1.0
weak_chaos,4,515,582,67,0.1041647344827652,67,0.0,0.0,1.0,19.339078903198242,1.0
weak_chaos,4,668,739,71,0.12067034840583801,71,0.0,0.0,1.0,20.4939022064209,1.0
weak_chaos,4,823,877,54,0.0567004457116127,54,0.0,0.0,1.0,15.585783958435059,1.0
weak_chaos,4,969,1033,64,0.08192240446805954,64,0.0,0.0,1.0,18.47295379638672,1.0
weak_chaos,4,1134,1158,24,0.004190441220998764,24,0.0,0.0,1.0,6.922186851501465,1.0
weak_chaos,4,1253,1313,60,0.03505009412765503,60,0.0,0.0,1.0,17.318103790283203,1.0
weak_chaos,4,1410,1450,40,0.010777555406093597,40,0.0,0.0,1.0,11.54339599609375,1.0
weak_chaos,4,1540,1595,55,0.01970415562391281,55,0.0,0.0,1.0,15.874506950378418,1.0
weak_chaos,4,1693,1739,46,0.01408802717924118,46,0.0,0.0,1.0,13.275918006896973,1.0
weak_chaos,4,1835,1883,48,0.012526854872703552,48,0.0,0.0,1.0,13.853399276733398,1.0
weak_chaos,4,1986,2033,47,0.016350198537111282,47,0.0,0.0,1.0,13.56466007232666,1.0
weak_chaos,5,49,111,62,0.039398595690727234,62,0.0,0.0,1.0,17.895530700683594,1.0
weak_chaos,5,200,244,44,0.01671813428401947,44,0.0,0.0,1.0,12.69842529296875,1.0
weak_chaos,5,341,400,59,0.03330978751182556,59,0.0,0.0,1.0,17.029386520385742,1.0
weak_chaos,5,532,589,57,0.011991690844297409,57,0.0,0.0,1.0,16.451950073242188,1.0
weak_chaos,5,701,750,49,0.011162947863340378,49,0.0,0.0,1.0,14.142135620117188,1.0
weak_chaos,5,848,906,58,0.02726517617702484,58,0.0,0.0,1.0,16.74066925048828,1.0
weak_chaos,5,999,1059,60,0.040108054876327515,60,0.0,0.0,1.0,17.318103790283203,1.0
weak_chaos,5,1149,1216,67,0.050974201411008835,67,0.0,0.0,1.0,19.339078903198242,1.0
weak_chaos,5,1427,1469,42,0.007437799125909805,42,0.0,0.0,1.0,12.120919227600098,1.0
weak_chaos,5,1972,1988,16,0.00037176162004470825,16,0.0,0.0,1.0,4.609772205352783,1.0
weak_chaos,6,41,102,61,0.028866957873106003,61,0.0,0.0,1.0,17.606815338134766,1.0
weak_chaos,6,230,298,68,0.030354421585798264,68,0.0,0.0,1.0,19.62778663635254,1.0
weak_chaos,6,390,452,62,0.029918096959590912,62,0.0,0.0,1.0,17.895530700683594,1.0
weak_chaos,6,541,607,66,0.034390974789857864,66,0.0,0.0,1.0,19.050373077392578,1.0
weak_chaos,6,694,736,42,0.00836128368973732,42,0.0,0.0,1.0,12.120919227600098,1.0
weak_chaos,6,838,892,54,0.009989410638809204,54,0.0,0.0,1.0,15.585783958435059,1.0
weak_chaos,6,1002,1069,67,0.03626599535346031,67,0.0,0.0,1.0,19.339078903198242,1.0
weak_chaos,6,1161,1224,63,0.040572915226221085,63,0.0,0.0,1.0,18.184242248535156,1.0
weak_chaos,6,1313,1381,68,0.04736793413758278,68,0.0,0.0,1.0,19.62778663635254,1.0
weak_chaos,6,1961,1985,24,0.0010850615799427032,24,0.0,0.0,1.0,6.922186851501465,1.0
weak_chaos,6,2098,2100,2,4.6018511056900024e-05,2,0.0,0.0,nan,0.5,1.0
