class_name,n_nodes,bottleneck_node,hub_node,assortativity_strength,assortativity_degree,modularity,n_communities,spectral_gap,lambda2_abs,mixing_timescale,stationary_entropy
weak_chaos,3,1,1,-0.6570190191268921,-0.4999999999999978,1.1102230246251565e-16,1,0.47188615798950195,0.528113842010498,1.5663095712661743,1.0801260471343994
intermediate,3,0,0,-0.4100569784641266,-0.4999999999999973,1.1102230246251565e-16,1,0.49251681566238403,0.507483184337616,1.4742920398712158,1.0898001194000244
strong_chaos,3,0,0,-0.43704652786254883,-0.4999999999999984,0.0,1,0.41963911056518555,0.5803608894348145,1.83788001537323,1.0857317447662354
