bins,weak_chaos_mean,weak_chaos_std,strong_chaos_mean,strong_chaos_std,weak_noise_mean,weak_noise_std,strong_noise_mean,strong_noise_std,weak_noise_minus_chaos_mean,weak_noise_minus_chaos_std,weak_noise_gt_chaos_fraction,strong_noise_minus_chaos_mean,strong_noise_minus_chaos_std,strong_noise_gt_chaos_fraction,strong_minus_weak_chaos_mean
4,0.024196078431372548,0.0026936352566391216,0.028117647058823532,0.0019026681522679527,0.18675294117647062,0.009227856794656254,0.1875372549019608,0.011248133511703909,0.16255686274509804,0.00954567803996128,1.0,0.15941960784313722,0.011386168990958173,1.0,0.003921568627450984
8,0.03537254901960784,0.0031057239016820913,0.04070588235294118,0.0019058984910153508,0.3338823529411765,0.009121504560326656,0.3350392156862745,0.011266691236161383,0.2985098039215687,0.00965504212956343,1.0,0.29433333333333334,0.01151713698991396,1.0,0.005333333333333343
16,0.048862745098039215,0.004379182517692119,0.05811764705882353,0.004034072491775101,0.4270470588235294,0.00840349335097064,0.42747843137254904,0.010096909131511296,0.3781843137254902,0.009447205331806593,1.0,0.36936078431372554,0.010949284366707349,1.0,0.009254901960784316
32,0.07678431372549019,0.00726072897947176,0.08513725490196078,0.004945531849548063,0.5501411764705882,0.008766003325472305,0.5510745098039216,0.010760175481547445,0.473356862745098,0.011549471677959326,1.0,0.4659372549019608,0.011934953786094084,1.0,0.00835294117647059
64,0.1187843137254902,0.011160704393910044,0.13094117647058823,0.006764222773314613,0.6771568627450981,0.008778626485281693,0.677956862745098,0.010675032042662918,0.5583725490196079,0.014249129019565532,1.0,0.5470156862745097,0.012540382444299237,1.0,0.01215686274509803
128,0.19501960784313724,0.015490444276988976,0.21258823529411763,0.012213530165682458,0.8026078431372549,0.008703042285381919,0.8034862745098038,0.010694088885974113,0.6075882352941177,0.017831319076923837,1.0,0.5908980392156862,0.016198162046098464,1.0,0.017568627450980395
256,0.3117254901960784,0.02268748619808872,0.34305882352941175,0.018151229380614458,0.9261215686274509,0.008544439319875932,0.9269450980392158,0.010501085789963154,0.6143960784313727,0.024251352316859834,1.0,0.583886274509804,0.02074747345457209,1.0,0.031333333333333324
