region,time,average_all_otoc_mean,average_all_otoc_std,average_cross_otoc_mean,average_cross_otoc_std,self_otoc_mean,self_otoc_std,finite_time_lyapunov_mean,finite_time_lyapunov_std,distance_bin_1_low,distance_bin_1_high,distance_bin_1_mean,distance_bin_1_std,distance_bin_2_low,distance_bin_2_high,distance_bin_2_mean,distance_bin_2_std,distance_bin_3_low,distance_bin_3_high,distance_bin_3_mean,distance_bin_3_std
weak_chaos,0.0,0.4408782631966964,2.3006189868739705e-11,0.3297671520739904,2.661628000156967e-11,0.6631004854421084,4.777641320916282e-11,nan,nan,0.4751406726541341,1.0245567281525643,0.49464787897726464,5.521288996389845e-12,1.0245567281525643,2.071779093231888,0.37098653248169017,0.12365974384810914,2.071779093231888,3.4567059732142793,0.18549691669543378,0.10709247959007036
weak_chaos,0.1,0.4420599108220462,3.7255372269294684e-05,0.33065210227994546,2.772178798482696e-05,0.6648755279062477,5.63230860877403e-05,-5.533442551871494,0.00041919716337261985,0.4751406726541341,1.0245567281525643,0.4970567358103958,4.0737282898433676e-05,1.0245567281525643,2.071779093231888,0.371245455016483,0.12370032186811948,2.071779093231888,3.4567059732142793,0.1855586395488831,0.1071281177952528
weak_chaos,0.2,0.4458089969125948,0.0001447834083307133,0.3334600441895367,0.00010775594852560913,0.6705069023587109,0.00021884029853923648,-2.745580701355405,0.0008078536374567739,0.4751406726541341,1.0245567281525643,0.5047345862414842,0.0001786724441299144,1.0245567281525643,2.071779093231888,0.3720317064405816,0.12382198267872699,2.071779093231888,3.4567059732142793,0.18574523871090348,0.10723591344744379
weak_chaos,0.3,0.4527355182675284,0.00031054979669637475,0.33864839180280887,0.0002311663352735245,0.6809097711969676,0.00046932060838842375,-1.8046552252617836,0.0011376755384262304,0.4751406726541341,1.0245567281525643,0.5190322620736849,0.00045928788058398313,1.0245567281525643,2.071779093231888,0.37337106057852726,0.12402431942197734,2.071779093231888,3.4567059732142793,0.18606037951270082,0.10741815390322382
weak_chaos,0.4,0.46384704087073764,0.00051587226529694,0.34697266023551265,0.0003840459129249718,0.6975958021411875,0.0007795309222059124,-1.3231373795537156,0.0013835616016623458,0.4751406726541341,1.0245567281525643,0.5421821493961215,0.0009557804170118585,1.0245567281525643,2.071779093231888,0.37530492710706365,0.12430653563008828,2.071779093231888,3.4567059732142793,0.18650978335258367,0.10767844888919735
weak_chaos,0.5,0.480535305467645,0.0007374915952622647,0.35947642902016613,0.0005490590126170557,0.7226530583626029,0.001114364834857526,-1.0231078365111714,0.0015274639210236514,0.4751406726541341,1.0245567281525643,0.57726784005592,0.0017659565362054014,1.0245567281525643,2.071779093231888,0.37789065467664934,0.1246674737320203,2.071779093231888,3.4567059732142793,0.18710126660868426,0.10802178617798011
weak_chaos,0.6,0.5045580251651856,0.0009509576035759757,0.37747770650590673,0.0007079704342357101,0.7587186624837434,0.0014369427735456207,-0.8118712723491767,0.0015631838555841583,0.4751406726541341,1.0245567281525643,0.6281829791379079,0.003007734401596617,1.0245567281525643,2.071779093231888,0.3812018392158121,0.1251056669859959,2.071779093231888,3.4567059732142793,0.18784478508785762,0.10845460552077069
weak_chaos,0.7000000000000001,0.5380159318228059,0.0011358906872389308,0.40255173620280826,0.0008455861197096251,0.8089443230628014,0.0017165161282821203,-0.6499527574059016,0.0015008873846205772,0.4751406726541341,1.0245567281525643,0.6995794388946374,0.004813420092576269,1.0245567281525643,2.071779093231888,0.38532863559954855,0.12561942309573604,2.071779093231888,3.4567059732142793,0.18875248078635792,0.10898489043621337
weak_chaos,0.8,0.5833251276777671,0.0012842086556244007,0.4365102864801349,0.0009559311330427888,0.8769548100730319,0.0019407935750952949,-0.5180910861036371,0.001369434841402339,0.4751406726541341,1.0245567281525643,0.7968049426486142,0.007322980166292388,1.0245567281525643,2.071779093231888,0.3903780660970565,0.1262069365919296,2.071779093231888,3.4567059732142793,0.18983873350682556,0.10962228100494388
weak_chaos,0.9,0.6431848083782775,0.0014124138831953807,0.4813774723483655,0.001051495998051924,0.9667994804381012,0.0021343125579059525,-0.4061699659273481,0.0012143407841056538,0.4751406726541341,1.0245567281525643,0.9258302879144216,0.010676569795787955,1.0245567281525643,2.071779093231888,0.39647432377677866,0.12686643450215246,2.071779093231888,3.4567059732142793,0.19112021666883933,0.11037820881294826
weak_chaos,1.0,0.720540442961646,0.0015745258001624535,0.5393621708163459,0.0011729588848458732,1.0828969872522465,0.0023777913998036964,-0.3086851845834239,0.0010879679380574252,0.4751406726541341,1.0245567281525643,1.093166359736656,0.015006617031823077,1.0245567281525643,2.071779093231888,0.40375906624092495,0.12759635692145258,2.071779093231888,3.4567059732142793,0.1926159551757863,0.11126605411067789
weak_chaos,1.1,0.8185425317317984,0.001857170285398613,0.6128271201145595,0.001385362476159899,1.229973354966276,0.0028010290295942945,-0.22257952773591755,0.0010276609128124883,0.4751406726541341,1.0245567281525643,1.3057712065235638,0.02042979834374261,1.0245567281525643,2.071779093231888,0.41239169753215915,0.12839557775384453,2.071779093231888,3.4567059732142793,0.19434738592552037,0.11230132600629666
weak_chaos,1.2,0.9405011143793747,0.002337387481839767,0.7042548296134139,0.0017462331198648947,1.412993683911296,0.003520081588576735,-0.14609086941464763,0.0010326606830126015,0.4751406726541341,1.0245567281525643,1.5709475619030706,0.027039272558032144,1.0245567281525643,2.071779093231888,0.42254962866223855,0.12926366164053862,2.071779093231888,3.4567059732142793,0.1963384221509314,0.11350186598127249
weak_chaos,1.3,1.0898362655069629,0.00304058381623819,0.8162104760487822,0.002274244310047098,1.6370878444233248,0.004573818973205085,-0.07811034538594064,0.0010706772056335594,0.4751406726541341,1.0245567281525643,1.8962313482850264,0.03489756867191647,1.0245567281525643,2.071779093231888,0.434428516794645,0.13020116553351327,2.071779093231888,3.4567059732142793,0.19861551710447234,0.1148880700561969
weak_chaos,1.4000000000000001,1.2700249017416412,0.003945858547367859,0.9513020273496897,0.0029535516470328375,1.9074706505255434,0.00593124775537512,-0.017831603316094603,0.0011074441796471606,0.4751406726541341,1.0245567281525643,2.2892718892223693,0.0440305495335572,1.0245567281525643,2.071779093231888,0.44824247302729103,0.13120998241282036,2.071779093231888,3.4567059732142793,0.201207728543356,0.11648312685967444
weak_chaos,1.5,1.4845443233624238,0.00501153612927466,1.112137909197982,0.003752858499555298,2.2293571516913073,0.0075299666614185076,0.03542617512927262,0.0011230903782357006,0.4751406726541341,1.0245567281525643,2.757704783525008,0.05442289100564362,1.0245567281525643,2.071779093231888,0.4642242347327594,0.13229373011198786,2.071779093231888,3.4567059732142793,0.20414678117449475,0.11831326415194737
weak_chaos,1.6,1.7368130283555872,0.006192283000250928,1.301282616003255,0.00463799926036638,2.607873853060252,0.00930234728730438,0.08229502170173476,0.0011117849135287496,0.4751406726541341,1.0245567281525643,3.30901865101033,0.06601553091301303,1.0245567281525643,2.071779093231888,0.48262529604311655,0.1334581864074377,2.071779093231888,3.4567059732142793,0.20746712658884525,0.12040799550222875
weak_chaos,1.7,2.0301294606012807,0.007451565814759842,1.521210760506173,0.005581049239195174,3.0479668607914947,0.011194690897420017,0.12338231156263069,0.0010768162165617804,0.4751406726541341,1.0245567281525643,3.9504172435613967,0.07870553124875228,1.0245567281525643,2.071779093231888,0.5037159856474961,0.13471176974717672,2.071779093231888,3.4567059732142793,0.2112059977759666,0.12280035535155862
weak_chaos,1.8,2.3676094804116787,0.00877785466325519,1.77426015214043,0.00657224713219299,3.554308136954176,0.013191989548600243,0.15927130018046026,0.0010265945339754928,0.4751406726541341,1.0245567281525643,4.688678694594038,0.09234878829681588,1.0245567281525643,2.071779093231888,0.5277854870511192,0.13606606723351458,2.071779093231888,3.4567059732142793,0.21540345854880344,0.12552711070671407
weak_chaos,1.9000000000000001,2.752123471985411,0.01020809884533127,2.0625845913531724,0.007637402989017637,4.131201233249887,0.01535351598652506,0.19051395214419092,0.0009721625956407093,0.4751406726541341,1.0245567281525643,5.530013976642866,0.10676597356948153,1.0245567281525643,2.071779093231888,0.5551417916972112,0.1375364073015629,2.071779093231888,3.4567059732142793,0.22010244609078877,0.128628935421343
weak_chaos,2.0,3.1862341174661237,0.011856028134318315,2.3881071504142826,0.008859155476961618,4.782488051569806,0.017855161854293516,0.21762355077585793,0.0009254878991161933,0.4751406726541341,1.0245567281525643,6.479926884860836,0.12175203954826645,1.0245567281525643,2.071779093231888,0.5861115726608503,0.13914247528267087,2.071779093231888,3.4567059732142793,0.2253488071320336,0.13215053356341822
weak_chaos,2.1,3.67213597370444,0.013932927131556094,2.7524747959725735,0.01039314839587772,5.511458329168174,0.021019347513295223,0.24106983778326113,0.0008976389347285773,0.4751406726541341,1.0245567281525643,7.543078118937112,0.13708955007028825,1.0245567281525643,2.071779093231888,0.6210399731206104,0.14090897092956628,2.071779093231888,3.4567059732142793,0.23119132561018899,0.13614069878581614
weak_chaos,2.2,4.211598074847221,0.01673908536447621,3.157015272214902,0.012462785620458326,6.320763680111858,0.02529988427463926,0.26127710546420185,0.0008964268820465486,0.4751406726541341,1.0245567281525643,8.723156224293184,0.1525660060035663,1.0245567281525643,2.071779093231888,0.6602902940833073,0.1428662998255395,2.071779093231888,3.4567059732142793,0.23768174394545255,0.1406523006440631
weak_chaos,2.3000000000000003,4.805910854931499,0.020614593665656992,3.6026972163541573,0.015323138435753657,7.212338132086184,0.03120670997897283,0.27862472828683804,0.0009243529183009417,0.4751406726541341,1.0245567281525643,10.022758318162415,0.16799520466449294,1.0245567281525643,2.071779093231888,0.7042435740228852,0.1450512981036695,2.071779093231888,3.4567059732142793,0.24487477409626254,0.14574219115541084
weak_chaos,2.4,5.455838726584832,0.025874091374736518,4.09009451275608,0.01921143402318398,8.187327154242338,0.03920929257777633,0.29344938498022366,0.000978483851967811,0.4751406726541341,1.0245567281525643,11.44328363088688,0.183242459408629,1.0245567281525643,2.071779093231888,0.7532980432145193,0.14750797814496003,2.071779093231888,3.4567059732142793,0.2528280961856399,0.15147103075777893
