time,weak_chaos_entropy,strong_chaos_entropy,weak_chaos_normalized_entropy,strong_chaos_normalized_entropy,weak_chaos_occupied_cells,strong_chaos_occupied_cells
0.0,-0.0,-0.0,-0.0,-0.0,1,1
0.2,-0.0,-0.0,-0.0,-0.0,1,1
0.4,-0.0,-0.0,-0.0,-0.0,1,1
0.6,-0.0,-0.0,-0.0,-0.0,1,1
0.8,-0.0,-0.0,-0.0,-0.0,1,1
1.0,-0.0,-0.0,-0.0,-0.0,1,1
1.2,-0.0,-0.0,-0.0,-0.0,1,1
1.4000000000000001,-0.0,-0.0,-0.0,-0.0,1,1
1.6,-0.0,0.009952003136362964,-0.0,0.001388579676468878,1,2
1.8,-0.0,0.05790751748813433,-0.0,0.00807970021683249,1,2
2.0,-0.0,0.07503344297458514,-0.0,0.010469240467710748,1,2
2.2,0.018097237858072095,0.03550636363045087,0.0025250651899538924,0.004954119713086839,2,3
2.4,0.018097237858072095,0.018097237858072095,0.0025250651899538924,0.0025250651899538924,2,2
2.6,0.025559460044411432,-0.0,0.0035662515649245085,-0.0,2,1
2.8000000000000003,0.018097237858072095,0.553588324436276,0.0025250651899538924,0.0772408816506463,2,2
3.0,0.009952003136362964,-0.0,0.001388579676468878,-0.0,2,1
3.2,-0.0,-0.0,-0.0,-0.0,1,1
3.4,-0.0,-0.0,-0.0,-0.0,1,1
3.6,-0.0,-0.0,-0.0,-0.0,1,1
3.8000000000000003,0.6059315526583169,0.2899471973584614,0.08454420962532583,0.04045565299612726,2,2
4.0,-0.0,0.6690268361602776,-0.0,0.09334774667725279,1,2
4.2,-0.0,0.14350450287814087,-0.0,0.020022847003561117,1,2
4.4,-0.0,0.009952003136362964,-0.0,0.001388579676468878,1,2
4.6000000000000005,-0.0,-0.0,-0.0,-0.0,1,1
4.8,-0.0,-0.0,-0.0,-0.0,1,1
5.0,-0.0,-0.0,-0.0,-0.0,1,1
5.2,-0.0,0.5580028576775724,-0.0,0.0778568311289541,1,2
5.4,-0.0,0.009952003136362964,-0.0,0.001388579676468878,1,2
