source_region,source_index,trial,LZMA_ratio,Lempel_Ziv_complexity,Permutation_entropy,LZMA_ratio_minus_chaos,Lempel_Ziv_complexity_minus_chaos,Permutation_entropy_minus_chaos
strong_chaos,0,1,0.9213333333333333,1.5918530506127748,0.9980072297278766,0.55,1.2341567672293525,0.8320900179411812
strong_chaos,0,2,0.9286666666666666,1.5876694683509802,0.9979437360139817,0.5573333333333332,1.229973184967558,0.8320265242272863
strong_chaos,0,3,0.9353333333333333,1.5918530506127748,0.9980014930601926,0.5640000000000001,1.2341567672293525,0.8320842812734972
strong_chaos,0,4,0.914,1.5981284240054663,0.9980825520470324,0.5426666666666666,1.240432140622044,0.8321653402603371
strong_chaos,0,5,0.9406666666666667,1.5960366328745692,0.9983744867511166,0.5693333333333332,1.2383403494911467,0.8324572749644212
strong_chaos,0,6,0.9313333333333333,1.593944841743672,0.9978592868964096,0.56,1.2362485583602494,0.8319420751097142
strong_chaos,0,7,0.9,1.593944841743672,0.9982909116307825,0.5286666666666666,1.2362485583602494,0.8323736998440872
strong_chaos,0,8,0.9266666666666666,1.593944841743672,0.9974642461557769,0.5553333333333332,1.2362485583602494,0.8315470343690815
strong_chaos,0,9,0.92,1.5897612594818775,0.9978544095220705,0.5486666666666666,1.2320649760984552,0.8319371977353751
strong_chaos,0,10,0.894,1.593944841743672,0.9975894421304187,0.5226666666666666,1.2362485583602494,0.8316722303437233
strong_chaos,1,1,0.928,1.593944841743672,0.9977857858836788,0.5760000000000001,1.240432140622044,0.8348728643319443
strong_chaos,1,2,0.9366666666666666,1.593944841743672,0.9974326606836484,0.5846666666666667,1.240432140622044,0.8345197391319139
strong_chaos,1,3,0.9153333333333333,1.593944841743672,0.9970196933058592,0.5633333333333334,1.240432140622044,0.8341067717541246
strong_chaos,1,4,0.9326666666666666,1.6002202151363636,0.9983548439815959,0.5806666666666667,1.2467075140147355,0.8354419224298614
strong_chaos,1,5,0.9,1.5897612594818775,0.998019405572349,0.548,1.2362485583602494,0.8351064840206145
strong_chaos,1,6,0.934,1.5918530506127748,0.997857827317516,0.5820000000000001,1.2383403494911467,0.8349449057657815
strong_chaos,1,7,0.9173333333333333,1.593944841743672,0.997511298075615,0.5653333333333334,1.240432140622044,0.8345983765238805
strong_chaos,1,8,0.92,1.5960366328745692,0.9981585683604759,0.5680000000000001,1.2425239317529413,0.8352456468087414
strong_chaos,1,9,0.9153333333333333,1.6002202151363636,0.9974652725401566,0.5633333333333334,1.2467075140147355,0.8345523509884221
strong_chaos,1,10,0.9406666666666667,1.5897612594818775,0.9978929107007474,0.5886666666666667,1.2362485583602494,0.8349799891490128
strong_chaos,2,1,0.9326666666666666,1.5981284240054663,0.9979451265536247,0.578,1.240432140622044,0.832591171104782
strong_chaos,2,2,0.9213333333333333,1.5960366328745692,0.9981109055243829,0.5666666666666667,1.2383403494911467,0.8327569500755402
strong_chaos,2,3,0.9226666666666666,1.5918530506127748,0.9980655139513257,0.568,1.2341567672293525,0.832711558502483
strong_chaos,2,4,0.9273333333333333,1.5876694683509802,0.997339396094291,0.5726666666666667,1.229973184967558,0.8319854406454483
strong_chaos,2,5,0.934,1.593944841743672,0.9981571008222223,0.5793333333333334,1.2362485583602494,0.8328031453733796
strong_chaos,2,6,0.9126666666666666,1.593944841743672,0.997594751931931,0.5579999999999999,1.2362485583602494,0.8322407964830884
strong_chaos,2,7,0.9106666666666666,1.5918530506127748,0.9982246233057156,0.5559999999999999,1.2341567672293525,0.8328706678568729
strong_chaos,2,8,0.936,1.5918530506127748,0.9981645724994755,0.5813333333333334,1.2341567672293525,0.8328106170506329
strong_chaos,2,9,0.93,1.593944841743672,0.9981573090379868,0.5753333333333334,1.2362485583602494,0.8328033535891441
strong_chaos,2,10,0.9353333333333333,1.5897612594818775,0.9978630545383588,0.5806666666666667,1.2320649760984552,0.8325090990895161
strong_chaos,3,1,0.918,1.5876694683509802,0.9977208553391436,0.5926666666666667,1.229973184967558,0.8328449768521322
strong_chaos,3,2,0.9333333333333333,1.593944841743672,0.9978597342245439,0.6080000000000001,1.2362485583602494,0.8329838557375325
strong_chaos,3,3,0.936,1.5897612594818775,0.9979663451251729,0.6106666666666667,1.2320649760984552,0.8330904666381616
strong_chaos,3,4,0.934,1.5960366328745692,0.9975124895249443,0.6086666666666667,1.2383403494911467,0.832636611037933
strong_chaos,3,5,0.9106666666666666,1.593944841743672,0.9980904487912386,0.5853333333333333,1.2362485583602494,0.8332145703042273
strong_chaos,3,6,0.924,1.5981284240054663,0.9977174125897265,0.5986666666666667,1.240432140622044,0.8328415341027151
strong_chaos,3,7,0.9153333333333333,1.593944841743672,0.997523419935988,0.5900000000000001,1.2362485583602494,0.8326475414489767
strong_chaos,3,8,0.9133333333333333,1.5981284240054663,0.9982302611432948,0.5880000000000001,1.240432140622044,0.8333543826562835
strong_chaos,3,9,0.9246666666666666,1.5855776772200831,0.9978490526792559,0.5993333333333333,1.2278813938366606,0.8329731741922446
strong_chaos,3,10,0.9386666666666666,1.593944841743672,0.9978184154327323,0.6133333333333333,1.2362485583602494,0.832942536945721
strong_chaos,4,1,0.92,1.5897612594818775,0.9979247518981031,0.5900000000000001,1.242523931752941,0.840500605120686
strong_chaos,4,2,0.9273333333333333,1.5960366328745692,0.9981242021644202,0.5973333333333333,1.2487993051456328,0.8407000553870032
strong_chaos,4,3,0.924,1.5918530506127748,0.9973433376053631,0.5940000000000001,1.2446157228838384,0.839919190827946
strong_chaos,4,4,0.9286666666666666,1.5897612594818775,0.9984098297729397,0.5986666666666667,1.242523931752941,0.8409856829955227
strong_chaos,4,5,0.9306666666666666,1.593944841743672,0.9977390943835169,0.6006666666666667,1.2467075140147355,0.8403149476060998
strong_chaos,4,6,0.9346666666666666,1.593944841743672,0.9978774581352123,0.6046666666666667,1.2467075140147355,0.8404533113577952
strong_chaos,4,7,0.9246666666666666,1.593944841743672,0.9979680147937467,0.5946666666666667,1.2467075140147355,0.8405438680163297
strong_chaos,4,8,0.922,1.593944841743672,0.997834329261376,0.5920000000000001,1.2467075140147355,0.8404101824839589
strong_chaos,4,9,0.9286666666666666,1.5918530506127748,0.9979441125761789,0.5986666666666667,1.2446157228838384,0.8405199657987619
strong_chaos,4,10,0.9193333333333333,1.5876694683509802,0.9978709267953938,0.5893333333333333,1.2404321406220438,0.8404467800179767
weak_chaos,5,1,0.9326666666666666,1.593944841743672,0.9975788354021505,0.6,1.2362485583602494,0.8335676074966334
weak_chaos,5,2,0.918,1.5918530506127748,0.9984970075003238,0.5853333333333334,1.2341567672293525,0.8344857795948066
weak_chaos,5,3,0.9193333333333333,1.593944841743672,0.9977141053248653,0.5866666666666667,1.2362485583602494,0.8337028774193481
weak_chaos,5,4,0.924,1.5981284240054663,0.9976464227224735,0.5913333333333334,1.240432140622044,0.8336351948169564
