outer_radius_0,outer_speed_scale_0,outer_phase_0,Lyapunov_exponent,Lyapunov_1,Lyapunov_2,Lyapunov_3,Lyapunov_4,Lyapunov_5,Lyapunov_6,Lyapunov_7,Lyapunov_8,Lyapunov_9,Lyapunov_10,Lyapunov_11,Lyapunov_12,KS_entropy_Pesin,Positive_lyapunov_count,Pesin_gap_lambda1,LZMA_ratio,Lempel_Ziv_complexity,Permutation_entropy,chaos_region
1.48,0.84,1.5707963267948966,0.15577225550922338,0.15577225550922338,0.07603340613802642,0.06322915790079983,0.061858521412430915,0.006662223320662268,0.0028636478363934874,-0.00789241418745207,-0.03435765345324264,-0.051090184930140614,-0.05471271423296678,-0.055353076241083606,-0.16301315276335193,0.3664192121175363,6,0.21064695660831292,0.37133333333333335,0.3576962833834224,0.16591721178669536,strong_chaos
1.5933333333333333,0.84,1.5707963267948966,0.17497860187891912,0.17497860187891912,0.06879338670805753,0.06281027449674753,0.061874420202964034,0.024263514815648472,0.010915945159890876,-0.01948480690599012,-0.037685617968797075,-0.054094979702895035,-0.055034515476559194,-0.06066843634010897,-0.17666784180474257,0.4036361432622275,6,0.2286575413833084,0.352,0.353512701121628,0.16291292155173456,strong_chaos
1.7066666666666668,0.84,1.5707963267948966,0.131213857939683,0.131213857939683,0.07437517083108151,0.060372579937287334,0.05331122549731738,0.02764932210026814,0.013816236885278875,-0.014121280842259276,-0.040833732769262276,-0.05237794668125709,-0.05728073971658295,-0.05741584576770939,-0.13870883996203356,0.3607383931909163,6,0.22952453525123329,0.3546666666666667,0.3576962833834224,0.1653539554488427,strong_chaos
1.82,0.84,1.5707963267948966,0.08746497723192931,0.08746497723192931,0.06424232876026909,0.06395215435351059,0.03933428801335378,0.03419252014127425,-0.0006765956217980741,-0.006275776868787808,-0.029039894056197703,-0.054803696398739415,-0.05499113493865703,-0.058313637156250556,-0.08508558968363038,0.289186268500337,5,0.2017212912684077,0.3253333333333333,0.3576962833834224,0.16487587848701138,strong_chaos
1.9333333333333333,0.84,1.5707963267948966,0.12650921548974686,0.12650921548974686,0.08326414368587953,0.06632989375616268,0.06314351277231285,0.051012548092265644,-0.010340248806444232,-0.014163548087030861,-0.04720980159492398,-0.05418460679464128,-0.060703111878139294,-0.06121728723491129,-0.14244586808535728,0.3902593137963675,5,0.26375009830662066,0.33,0.3472373277289364,0.15742414677741706,strong_chaos
2.046666666666667,0.84,1.5707963267948966,0.06233201246039549,0.06233201246039549,0.061765366695552104,0.05991685204268533,0.04412256811455532,0.001590243600581184,6.966652924010608e-06,-0.00314345335263992,-0.006861351390610458,-0.05159724639809168,-0.053807984310062514,-0.054862033248589376,-0.05946189717035757,0.2297270429137694,5,0.16739503045337392,0.33266666666666667,0.3576962833834224,0.16401122790551712,weak_chaos
2.16,0.84,1.5707963267948966,0.07126909774994203,0.07126909774994203,0.06608469704112112,0.06297827787452454,0.061611589179045634,0.00507255077157791,-0.003476885633583574,-0.00862240285697841,-0.025073260797562006,-0.04490633439949606,-0.05360457160528642,-0.05514529034179845,-0.07618743237776206,0.2670162126162112,5,0.1957471148662692,0.31,0.353512701121628,0.16237530457477453,intermediate
1.48,0.8833333333333333,1.5707963267948966,0.1034708968574823,0.1034708968574823,0.07967691279769586,0.06252474676455205,0.06251421207465835,0.004521792819051194,-0.005845615951708655,-0.006273137149550959,-0.028590327706182677,-0.05458984973587474,-0.054744251256422585,-0.06946754268256564,-0.09319779798447159,0.3127085613134397,5,0.20923766445595743,0.3446666666666667,0.353512701121628,0.1614719890023056,strong_chaos
1.5933333333333333,0.8833333333333333,1.5707963267948966,0.11537329952013584,0.11537329952013584,0.08394049981492432,0.06388218231058457,0.06097283243598628,0.012233728322110563,-0.003452934628271206,-0.006318641390388581,-0.03544727137824974,-0.05344344902340644,-0.05629523099757398,-0.06503818278297809,-0.11640687794097082,0.33640254240374157,5,0.22102924288360573,0.3293333333333333,0.3514209099907308,0.1607935561715359,strong_chaos
1.7066666666666668,0.8833333333333333,1.5707963267948966,0.09928699782234444,0.09928699782234444,0.06409605319662107,0.06313050722467367,0.06254271401535907,-0.001786858954262858,-0.00491000685748009,-0.015840747546073914,-0.030136378888372662,-0.03358493645972618,-0.054512837318268226,-0.05598727824153053,-0.0922972455728077,0.2890562722589982,4,0.18976927443665376,0.37866666666666665,0.3576962833834224,0.1647711293037578,strong_chaos
1.82,0.8833333333333333,1.5707963267948966,0.08253669812596157,0.08253669812596157,0.08111789328247122,0.0637709018689839,0.05994692979443984,0.003420671691259825,0.0032016280997636155,0.001351300742406938,-0.03547489496617468,-0.05201230226193594,-0.05638427779736055,-0.061539905273596596,-0.08993457372532282,0.2953460236052869,7,0.21280932547932532,0.3393333333333333,0.3597880745143196,0.16706804275315,strong_chaos
1.9333333333333333,0.8833333333333333,1.5707963267948966,0.062091621843613255,0.062091621843613255,0.0617163644240961,0.050334924482068444,0.03588031591080088,0.007763341718212341,0.0024899297987247696,-0.009158759939907706,-0.012745711180307965,-0.02986170064939407,-0.052394161208582854,-0.05552154049572789,-0.06059458764684263,0.2202764981775158,6,0.15818487633390255,0.346,0.3556044922525252,0.16316951623004453,weak_chaos
2.046666666666667,0.8833333333333333,1.5707963267948966,0.0634460218808388,0.0634460218808388,0.061041505310140305,0.048448947551184715,0.04782446507506804,0.010209753367106838,-0.003728658735284716,-0.0045048598088173,-0.011952468726915006,-0.042827771453852824,-0.05298159607633103,-0.05489679082487824,-0.060078524014698514,0.23097069318433872,5,0.1675246713034999,0.342,0.3556044922525252,0.16351612731801532,weak_chaos
2.16,0.8833333333333333,1.5707963267948966,0.06469033765567801,0.06469033765567801,0.06374378960597007,0.0520501724089123,0.027600109670902703,0.012883898430400761,0.005381312423253257,0.0006592856810685737,-0.010333827060181195,-0.049802699384134154,-0.05494855399478326,-0.05568778247826345,-0.05623599372721348,0.22634962019511715,6,0.16165928253943912,0.34,0.3597880745143196,0.16444532910428844,weak_chaos
