theta1_0,theta2_0,Lyapunov_exponent,Lyapunov_1,Lyapunov_2,Lyapunov_3,Lyapunov_4,KS_entropy_Pesin,Positive_lyapunov_count,Pesin_gap_lambda1,LZMA_ratio,Lempel_Ziv_complexity,Permutation_entropy,chaos_region
0.47123889803846897,0.47123889803846897,0.033327931777676796,0.033327931777676796,0.009339906609563416,-0.009583270594310548,-0.03303024030554789,0.04266783838724021,2,0.009339906609563416,0.6713333333333333,0.4581022576664883,0.2562611189102008,weak_chaos
0.890117918517108,0.47123889803846897,0.023148826748791162,0.023148826748791162,0.015238909012331577,-0.008446518434024886,-0.02909426967616823,0.03838773576112274,2,0.015238909012331579,0.6313333333333333,0.5375903206405822,0.29442932016388396,weak_chaos
1.308996938995747,0.47123889803846897,0.17187259133016045,0.17187259133016045,0.020090455492462696,-0.031042850552761722,-0.162691918731907,0.19196304682262313,2,0.02009045549246269,0.7013333333333334,0.5124888270698158,0.2570567870210958,weak_chaos
1.7278759594743862,0.47123889803846897,0.33360003012844025,0.33360003012844025,0.03214280393733351,-0.03180822011030171,-0.33479558975711926,0.36574283406577374,2,0.032142803937333486,0.7026666666666667,0.5103970359389186,0.24678371292443868,weak_chaos
2.146754979953025,0.47123889803846897,1.334375072309544,1.334375072309544,0.013878864105057289,-0.021543567161517025,-1.3273278878202055,1.3482539364146013,2,0.013878864105057342,0.728,0.6526388328399286,0.300221318223325,strong_chaos
2.5656340004316642,0.47123889803846897,1.3570008446914508,1.3570008446914508,0.014765691011686274,-0.043987702753159684,-1.3304049170298011,1.371766535703137,2,0.014765691011686233,0.7233333333333334,0.596160472305704,0.29381469507554286,strong_chaos
2.9845130209103035,0.47123889803846897,1.243812408628892,1.243812408628892,0.01721659780551737,-0.03199399891621366,-1.2300185067776133,1.2610290064344094,2,0.01721659780551743,0.6993333333333334,0.5982522634366013,0.2719528081231833,intermediate
0.47123889803846897,0.890117918517108,0.02157260764822269,0.02157260764822269,0.01315774435513132,-0.014375369677451646,-0.02032128736634217,0.03473035200335401,2,0.01315774435513132,0.584,0.45391867540469394,0.229749038484014,weak_chaos
0.890117918517108,0.890117918517108,0.03812888226323262,0.03812888226323262,0.01756231647510114,-0.021173853969712195,-0.0320471695137185,0.05569119873833376,2,0.01756231647510114,0.6906666666666667,0.5145806182007129,0.2691749539593554,weak_chaos
1.308996938995747,0.890117918517108,0.0322164008581103,0.0322164008581103,-0.002646609312576652,-0.002766651464318008,-0.02735093898489185,0.0322164008581103,1,0.0,0.5466666666666666,0.5773343521276292,0.2905570224528808,weak_chaos
1.7278759594743862,0.890117918517108,0.9373985236063385,0.9373985236063385,0.03686754323024496,-0.04320881675692829,-0.9351238183575248,0.9742660668365835,2,0.03686754323024499,0.68,0.5187642004625074,0.2507968877783156,weak_chaos
2.146754979953025,0.890117918517108,0.5058240377583032,0.5058240377583032,0.027982819912672263,-0.03568392416894279,-0.49795707994818184,0.5338068576709755,2,0.027982819912672263,0.636,0.4978462891535353,0.23793850081408444,weak_chaos
2.5656340004316642,0.890117918517108,1.3989869505959711,1.3989869505959711,0.06918825421478596,-0.0256060322795718,-1.4376080640718607,1.468175204810757,2,0.06918825421478592,0.7106666666666667,0.5480492762950683,0.2515079417308395,strong_chaos
2.9845130209103035,0.890117918517108,1.1619521095480052,1.1619521095480052,0.13752118277024838,-0.044471551893363055,-1.2552017608336061,1.2994732923182535,2,0.13752118277024827,0.7266666666666667,0.6212619658764705,0.2910197075388933,intermediate
0.47123889803846897,1.308996938995747,0.12139034027915445,0.12139034027915445,0.02258351546488204,-0.02116629957940485,-0.12111036944345431,0.14397385574403648,2,0.022583515464882034,0.674,0.5208559915934046,0.2737677747782939,weak_chaos
0.890117918517108,1.308996938995747,0.21622615433821418,0.21622615433821418,0.01827489032621879,-0.018842929337681433,-0.21587666823345852,0.23450104466443297,2,0.01827489032621879,0.7033333333333334,0.5271313649860963,0.24434830501465896,weak_chaos
1.308996938995747,1.308996938995747,1.238829609168058,1.238829609168058,0.017645020479305863,0.0011289941445553002,-1.2545114028434745,1.2576036237919193,3,0.0187740146238613,0.694,0.5501410674259655,0.25702038597836235,intermediate
1.7278759594743862,1.308996938995747,1.3184665944165588,1.3184665944165588,0.020709361232589468,-0.02909840858057659,-1.3082305526828049,1.3391759556491483,2,0.020709361232589485,0.7053333333333334,0.5585082319495543,0.26444102788743795,strong_chaos
2.146754979953025,1.308996938995747,1.2173832744077346,1.2173832744077346,0.04765629740064223,-0.01581833121809616,-1.2478916862947398,1.265039571808377,2,0.047656297400642256,0.7273333333333334,0.6254455481382649,0.2851919501502406,intermediate
2.5656340004316642,1.308996938995747,1.4796063783187938,1.4796063783187938,0.028045358271298716,-0.0744634234641767,-1.4340466288806097,1.5076517365900926,2,0.028045358271298726,0.7266666666666667,0.7049336111123587,0.30275450697581113,strong_chaos
2.9845130209103035,1.308996938995747,1.3757299676704486,1.3757299676704486,0.03927811625454505,-0.0075334901030326435,-1.4007553860348367,1.4150080839249937,2,0.039278116254545026,0.726,0.6400880860545454,0.27639321300102826,strong_chaos
0.47123889803846897,1.7278759594743862,0.32498043565026163,0.32498043565026163,0.015607138736940017,-0.012626064032791795,-0.33190291820400386,0.34058757438720166,2,0.01560713873694003,0.692,0.5083052448080214,0.26725374056406725,weak_chaos
0.890117918517108,1.7278759594743862,1.1139736790717063,1.1139736790717063,0.08726872317201656,-0.012433362748236412,-1.1923618873791555,1.201242402243723,2,0.08726872317201662,0.7026666666666667,0.5668753964731431,0.2682048952187392,intermediate
1.308996938995747,1.7278759594743862,1.0799723327831958,1.0799723327831958,0.024388507740037417,-0.0028219230723626203,-1.105562102100692,1.1043608405232332,2,0.024388507740037424,0.7,0.585701516651218,0.28156042185391045,intermediate
1.7278759594743862,1.7278759594743862,1.4096179916827594,1.4096179916827594,0.038624428183626956,-0.0275270506932496,-1.4206787484987597,1.4482424198663864,2,0.03862442818362699,0.7266666666666667,0.6442716683163398,0.2807924053000527,strong_chaos
2.146754979953025,1.7278759594743862,1.3224939748017133,1.3224939748017133,0.07814990223962466,-0.03308837797582577,-1.3700357169293422,1.4006438770413379,2,0.07814990223962459,0.72,0.614986592483779,0.2771534701875961,strong_chaos
2.5656340004316642,1.7278759594743862,1.349217985794463,1.349217985794463,0.06564415071131616,-0.03962327142358237,-1.375418964021287,1.4148621365057792,2,0.06564415071131613,0.7313333333333333,0.6484552505781342,0.29612639535975527,strong_chaos
2.9845130209103035,1.7278759594743862,1.199641294672957,1.199641294672957,0.06803092518483408,-0.026915083566688692,-1.2405965363604994,1.2676722198577912,2,0.06803092518483411,0.6913333333333334,0.5334067383787878,0.2439483502201958,intermediate
0.47123889803846897,2.146754979953025,0.4555294091030771,0.4555294091030771,0.020713927075145168,0.009363453089037264,-0.4806071434607222,0.48560678926725953,3,0.030077380164182432,0.648,0.47902016897546046,0.2300124178249986,weak_chaos
0.890117918517108,2.146754979953025,1.0863202014754165,1.0863202014754165,0.03859397977006673,-0.05162519334810267,-1.07623172904104,1.1249141812454833,2,0.03859397977006673,0.714,0.5919768900439096,0.2641432724485139,intermediate
1.308996938995747,2.146754979953025,1.4316503877638955,1.4316503877638955,0.006075620678068387,-0.03341268214513206,-1.4114789764870925,1.4377260084419639,2,0.0060756206780683275,0.7093333333333334,0.5626918142113487,0.26475995575882494,strong_chaos
1.7278759594743862,2.146754979953025,1.2560346655667465,1.2560346655667465,0.07263989519964631,-0.01250971454694901,-1.3107685217343499,1.3286745607663928,2,0.07263989519964631,0.736,0.7049336111123587,0.3146352096584935,intermediate
2.146754979953025,2.146754979953025,1.1988882761243176,1.1988882761243176,0.04760701564512811,-0.02542208226279013,-1.222662530058674,1.2464952917694456,2,0.04760701564512804,0.722,0.6024358456983957,0.2983581254135133,intermediate
2.5656340004316642,2.146754979953025,1.4053002453119867,1.4053002453119867,0.010697886597001372,-0.07089542813111065,-1.3450635319566404,1.415998131908988,2,0.010697886597001327,0.7233333333333334,0.5940686811748068,0.2790107395474,strong_chaos
2.9845130209103035,2.146754979953025,1.3656132996152337,1.3656132996152337,0.0387089543122093,-0.0293385650812247,-1.3760884126972757,1.404322253927443,2,0.03870895431220922,0.7226666666666667,0.6066194279601901,0.2796871610472225,strong_chaos
0.47123889803846897,2.5656340004316642,0.9542322652943723,0.9542322652943723,0.0400264628969559,-0.0011829645384664053,-0.9894727934277,0.9942587281913282,2,0.04002646289695588,0.688,0.5647836053422459,0.2563744733299534,weak_chaos
0.890117918517108,2.5656340004316642,0.9954730584256332,0.9954730584256332,0.043208807720591436,-0.025540607138028654,-1.0174855624885992,1.0386818661462245,2,0.043208807720591325,0.6813333333333333,0.5334067383787878,0.2446027431955774,weak_chaos
1.308996938995747,2.5656340004316642,1.025070698626464,1.025070698626464,0.02796953792544201,-0.024673981905740147,-1.0286289335747354,1.053040236551906,2,0.0279695379254421,0.688,0.5250395738551991,0.24539519286407818,weak_chaos
1.7278759594743862,2.5656340004316642,1.1455369554879475,1.1455369554879475,0.02818188318186052,-0.016297477366462507,-1.1575175183619173,1.173718838669808,2,0.028181883181860545,0.6833333333333333,0.5334067383787878,0.248857709363321,intermediate
2.146754979953025,2.5656340004316642,1.4095420681157103,1.4095420681157103,0.033261539781888845,-0.026063209099603312,-1.4187566484572263,1.4428036078975992,2,0.03326153978188895,0.722,0.614986592483779,0.2700551935883959,strong_chaos
2.5656340004316642,2.5656340004316642,1.3937889351574189,1.3937889351574189,0.09988038756606711,-0.04139205982008619,-1.4548991630358703,1.493669322723486,2,0.09988038756606721,0.7113333333333334,0.5647836053422459,0.2661894316661213,strong_chaos
2.9845130209103035,2.5656340004316642,1.229360932594615,1.229360932594615,0.016821746681400657,-0.05913166924104489,-1.1917986122331072,1.2461826792760158,2,0.016821746681400684,0.722,0.656822415101723,0.27424240386505866,intermediate
0.47123889803846897,2.9845130209103035,1.0935764818509481,1.0935764818509481,0.03089008821994477,-0.05672957651771128,-1.069178565367634,1.124466570070893,2,0.030890088219944767,0.7126666666666667,0.5794261432585264,0.2469706578894527,intermediate
0.890117918517108,2.9845130209103035,1.3603109928177795,1.3603109928177795,0.05824877954487049,-0.0507191674449547,-1.3687602223176105,1.41855977236265,2,0.05824877954487051,0.7206666666666667,0.5689671876040403,0.26007622666286734,strong_chaos
1.308996938995747,2.9845130209103035,1.4230756667296978,1.4230756667296978,0.07653098448749807,-0.01699904674408247,-1.4891393794615295,1.4996066512171957,2,0.07653098448749796,0.7193333333333334,0.5836097255203208,0.29204529888171893,strong_chaos
1.7278759594743862,2.9845130209103035,1.3933396013068153,1.3933396013068153,0.015891246183937335,-0.034336323846773494,-1.3753884742207385,1.4092308474907527,2,0.015891246183937335,0.7233333333333334,0.6547306239708258,0.27965760746541635,strong_chaos
2.146754979953025,2.9845130209103035,1.1056462898694497,1.1056462898694497,0.09356171658992993,-0.02569765084131132,-1.1721855265873657,1.1992080064593795,2,0.09356171658992984,0.6826666666666666,0.5417739029023767,0.2615943355649576,intermediate
2.5656340004316642,2.9845130209103035,1.1755897945022276,1.1755897945022276,0.05038699571020685,-0.018924353488921682,-1.2085313445016523,1.2259767902124343,2,0.05038699571020677,0.7326666666666667,0.6881992820651811,0.31471315281678564,intermediate
2.9845130209103035,2.9845130209103035,0.8935396107613411,0.8935396107613411,0.056404674926229345,-0.031732694623668234,-0.9208758545538451,0.9499442856875705,2,0.05640467492622936,0.708,0.6338127126618538,0.24775101827421445,weak_chaos
