lag_step,lag_time,weak_chaos_mi_normalized_excess_mean,weak_chaos_mi_normalized_excess_std,weak_chaos_mi_excess_mean,weak_chaos_mi_excess_std,weak_chaos_te_forward_mean,weak_chaos_te_forward_std,weak_chaos_te_backward_mean,weak_chaos_te_backward_std,weak_chaos_te_net_mean,weak_chaos_te_net_std,strong_chaos_mi_normalized_excess_mean,strong_chaos_mi_normalized_excess_std,strong_chaos_mi_excess_mean,strong_chaos_mi_excess_std,strong_chaos_te_forward_mean,strong_chaos_te_forward_std,strong_chaos_te_backward_mean,strong_chaos_te_backward_std,strong_chaos_te_net_mean,strong_chaos_te_net_std
190,1.9000000000000001,0.5683257817027829,0.01250110296923109,0.4142072815812238,0.21062320981493257,0.007125071316814108,0.004467650327588399,0.0059645526621532816,0.004300268701854958,0.0011605186546608266,0.0027088440907793365,0.6274084666386806,0.056248626613486695,0.0992016579186368,0.004614421270028338,0.0008736556259701129,0.0006695468554831742,0.0005553786572636561,0.0004723111705267273,0.00031827696870645667,0.0007855950235393115
200,2.0,0.5223373400007548,0.05954017221777764,0.37896053873241675,0.19360777667559997,0.008998539982135515,0.004354531110128054,0.007502289596036976,0.003980087902130567,0.0014962503860985385,0.0013894006623220868,0.5947008547553141,0.06113965544425568,0.09391705174901341,0.004818847420652786,0.0005355867367583787,0.0009889289983154713,0.00039478297117836114,0.00039784810098393797,0.00014080376558001754,0.0012486571673955018
210,2.1,0.49541637222467505,0.11438473971518238,0.35304471547153665,0.1772106473544109,0.009575986659842963,0.004633059294955046,0.007373220156176248,0.004978981057886316,0.0022027665036667148,0.0022127692157034216,0.5779596694633042,0.07980883917014421,0.09121522944048517,0.009622503268468726,5.787717671625857e-05,0.00011575435343251714,0.0004127645813285591,0.00044391066312680016,-0.0003548874046123005,0.0005081683229086467
220,2.2,0.47700139854449797,0.1373277701268436,0.34058774760180127,0.17553436363447417,0.010547940889103605,0.005805013035341355,0.00910069033452187,0.00555849125519025,0.0014472505545817358,0.0018777117277250807,0.5717563777726553,0.10026787346664605,0.0900551473299369,0.013300331460599552,0.0003490607418256148,0.00038442752619046323,0.000505875833941152,0.0004468598174640808,-0.00015681509211553716,0.00045451507561755503
230,2.3000000000000003,0.4402386199730902,0.1530698969836926,0.31524543673746497,0.170863675165352,0.010479792148272406,0.005259420335670465,0.008219080785317093,0.004836057691383599,0.0022607113629553163,0.000705751379479358,0.5714035983897064,0.09720627711220882,0.09019674676043535,0.01349136362153098,0.0005157229938981166,0.0003502956463221485,0.0005217502848924527,0.0006568833058935118,-6.027290994336035e-06,0.0007253917364054445
240,2.4,0.4347126992324766,0.1502607891217958,0.3136448940531733,0.1825073196366456,0.011141405310112536,0.0053812019601399575,0.008694831128329583,0.005388271516575589,0.0024465741817829537,0.0012230705093976147,0.5894462613480774,0.12780862190455025,0.09287695675473669,0.01744863996938315,0.00041480094680785217,0.0005020635665466208,0.001211146781633281,0.0007202946363719432,-0.000796345834825429,0.0009515036428364281
250,2.5,0.4446698593117291,0.1246197661756586,0.3213510062872583,0.18032175866290648,0.011868878139486377,0.005906153553465727,0.009319814540254401,0.0057095122958387996,0.0025490635992319764,0.0011600825488894692,0.6016169937562184,0.11335946231241233,0.09479644910876249,0.014648972212308707,5.3692498634356e-05,0.000107384997268712,0.000725301048112326,0.0006595008716518565,-0.00067160854947797,0.0006360682392021029
260,2.6,0.4669452795612951,0.09334818453411144,0.3366696547855407,0.17722203805226877,0.012863381809412853,0.007051079880474254,0.01006430478036752,0.007274037706164935,0.002799077029045332,0.0015223772177033676,0.5985148300216039,0.13247132506388595,0.094011573269476,0.016423910664278445,8.618710330306374e-05,0.00017237420660612748,0.00010745324059570245,0.00021490648119140487,-2.126613729263871e-05,4.253227458527742e-05
270,2.7,0.505735859554197,0.06763672032213522,0.368919637358507,0.193607821913113,0.014014400224723129,0.009642046153490182,0.011320550939511117,0.009076278908068072,0.0026938492852120084,0.002933331653800118,0.574698439445272,0.14125707770048462,0.0902292154300586,0.01822757695839244,4.621507778802131e-06,9.243015557604261e-06,0.00027719611492209756,0.00038474070633750184,-0.0002725746071432954,0.0003763271335205878
280,2.8000000000000003,0.5785539184742634,0.05251350760672072,0.42654700441506216,0.22269592118763767,0.009766519013863375,0.0065180520004487945,0.008961624150685124,0.0053617861461998815,0.0008048948631782515,0.0020814375106394,0.5811055230813427,0.13898920299123121,0.09123831629674971,0.017221359490783,0.0,0.0,0.0002946756081101627,0.00025660726461768806,-0.0002946756081101627,0.00025660726461768806
