noise_type,source_index,source_region,trial,theta1_0,theta2_0,LZMA_ratio,source_LZMA_ratio,LZMA_ratio_delta_vs_source,Lempel_Ziv_complexity,source_Lempel_Ziv_complexity,Lempel_Ziv_complexity_delta_vs_source,Permutation_entropy,source_Permutation_entropy,Permutation_entropy_delta_vs_source
gaussian_white,0,weak_chaos,1,0.47123889803846897,0.47123889803846897,0.9246666666666666,0.6713333333333333,0.2533333333333333,1.593944841743672,0.4581022576664883,1.1358425840771835,0.9978569212768391,0.2562611189102008,0.7415958023666382
gaussian_white,0,weak_chaos,2,0.47123889803846897,0.47123889803846897,0.9213333333333333,0.6713333333333333,0.25,1.5855776772200831,0.4581022576664883,1.1274754195535948,0.9969544684131719,0.2562611189102008,0.740693349502971
gaussian_white,0,weak_chaos,3,0.47123889803846897,0.47123889803846897,0.9153333333333333,0.6713333333333333,0.244,1.5981284240054663,0.4581022576664883,1.140026166338978,0.998206163241979,0.2562611189102008,0.7419450443317781
gaussian_white,0,weak_chaos,4,0.47123889803846897,0.47123889803846897,0.9266666666666666,0.6713333333333333,0.2553333333333333,1.5960366328745692,0.4581022576664883,1.1379343752080808,0.9981650829678237,0.2562611189102008,0.7419039640576228
gaussian_white,0,weak_chaos,5,0.47123889803846897,0.47123889803846897,0.9193333333333333,0.6713333333333333,0.248,1.5918530506127748,0.4581022576664883,1.1337507929462864,0.9972015682224936,0.2562611189102008,0.7409404493122929
gaussian_white,0,weak_chaos,6,0.47123889803846897,0.47123889803846897,0.93,0.6713333333333333,0.2586666666666667,1.5981284240054663,0.4581022576664883,1.140026166338978,0.9979168303105755,0.2562611189102008,0.7416557114003748
gaussian_white,0,weak_chaos,7,0.47123889803846897,0.47123889803846897,0.924,0.6713333333333333,0.2526666666666667,1.593944841743672,0.4581022576664883,1.1358425840771835,0.99787207085107,0.2562611189102008,0.7416109519408691
gaussian_white,0,weak_chaos,8,0.47123889803846897,0.47123889803846897,0.9246666666666666,0.6713333333333333,0.2533333333333333,1.5918530506127748,0.4581022576664883,1.1337507929462864,0.9987322428347978,0.2562611189102008,0.7424711239245969
gaussian_white,0,weak_chaos,9,0.47123889803846897,0.47123889803846897,0.9153333333333333,0.6713333333333333,0.244,1.5918530506127748,0.4581022576664883,1.1337507929462864,0.9977199018610314,0.2562611189102008,0.7414587829508306
gaussian_white,0,weak_chaos,10,0.47123889803846897,0.47123889803846897,0.9226666666666666,0.6713333333333333,0.2513333333333333,1.593944841743672,0.4581022576664883,1.1358425840771835,0.9983987960691156,0.2562611189102008,0.7421376771589148
gaussian_white,0,weak_chaos,11,0.47123889803846897,0.47123889803846897,0.9253333333333333,0.6713333333333333,0.254,1.593944841743672,0.4581022576664883,1.1358425840771835,0.9980057124437954,0.2562611189102008,0.7417445935335947
gaussian_white,0,weak_chaos,12,0.47123889803846897,0.47123889803846897,0.9313333333333333,0.6713333333333333,0.26,1.593944841743672,0.4581022576664883,1.1358425840771835,0.9976816286099298,0.2562611189102008,0.7414205096997291
gaussian_white,0,weak_chaos,13,0.47123889803846897,0.47123889803846897,0.912,0.6713333333333333,0.2406666666666667,1.593944841743672,0.4581022576664883,1.1358425840771835,0.9984371911554036,0.2562611189102008,0.7421760722452029
gaussian_white,0,weak_chaos,14,0.47123889803846897,0.47123889803846897,0.94,0.6713333333333333,0.2686666666666666,1.5897612594818775,0.4581022576664883,1.1316590018153891,0.9980171322213836,0.2562611189102008,0.7417560133111827
