time,weak_chaos_entropy,strong_chaos_entropy,weak_chaos_normalized_entropy,strong_chaos_normalized_entropy,weak_chaos_occupied_cells,strong_chaos_occupied_cells
0.0,-0.0,-0.0,-0.0,-0.0,1,1
0.2,-0.0,-0.0,-0.0,-0.0,1,1
0.4,-0.0,-0.0,-0.0,-0.0,1,1
0.6,-0.0,-0.0,-0.0,-0.0,1,1
0.8,-0.0,-0.0,-0.0,-0.0,1,1
1.0,-0.0,-0.0,-0.0,-0.0,1,1
1.2,-0.0,0.045688389073983635,-0.0,0.005492867695270141,1,2
1.4000000000000001,-0.0,-0.0,-0.0,-0.0,1,1
1.6,-0.0,0.2253103677051037,-0.0,0.027087845845751832,1,3
1.8,0.6663490082593161,-0.0,0.08011153414308286,-0.0,2,1
2.0,-0.0,0.007745100942701248,-0.0,0.0009311515601016273,1,2
2.2,-0.0,-0.0,-0.0,-0.0,1,1
2.4,-0.0,0.035957677207046054,-0.0,0.004322996882374288,1,2
2.6,0.6899374920022032,0.01413544419166996,0.08294744985291229,0.0016994279363404129,2,2
2.8000000000000003,-0.0,0.23323651814176088,-0.0,0.028040764006443935,1,3
3.0,-0.0,1.082602251273524,-0.0,0.13015540826396174,1,5
3.2,-0.0,1.0117499818575624,-0.0,0.12163722345378367,1,7
3.4,-0.0,1.391348412216286,-0.0,0.16727428787109744,1,8
3.6,-0.0,1.627441931927634,-0.0,0.19565853371056266,1,10
3.8000000000000003,0.01413544419166996,1.9523766002046081,0.0016994279363404129,0.23472366992190355,2,11
4.0,-0.0,1.9678271065185637,-0.0,0.2365812006584342,1,12
4.2,-0.0,2.114791382702454,-0.0,0.2542499200282954,1,14
4.4,-0.0,2.217250582216057,-0.0,0.26656803494760606,1,20
4.6000000000000005,-0.0,2.3153139260985727,-0.0,0.27835765994029726,1,26
4.8,-0.0,2.395800608258246,-0.0,0.2880341380410778,1,25
5.0,-0.0,2.4372259926515145,-0.0,0.2930144877603351,1,24
5.2,0.1322894766282624,2.739051147868199,0.015904447657782553,0.32930129231422284,2,35
