lag_time,weak_chaos_mi_forward,weak_chaos_mi_backward,weak_chaos_mi_mean,weak_chaos_excess_mi_mean,weak_chaos_normalized_excess_mi_mean,strong_chaos_mi_forward,strong_chaos_mi_backward,strong_chaos_mi_mean,strong_chaos_excess_mi_mean,strong_chaos_normalized_excess_mi_mean
0.0,0.36730846496734415,0.36730846496734404,0.3673084649673441,0.35505349957825666,0.7123536610721982,0.11782135945763098,0.11782135945763099,0.11782135945763098,0.08525822264768967,0.5734207213400286
0.1,0.31934687839439024,0.33233940100960846,0.32584313970199935,0.31331804645151323,0.6286186665807836,0.14002504461062726,0.12360787678311055,0.13181646069686892,0.09996108655309036,0.672307685723957
0.2,0.2921943007196567,0.2998331512383746,0.29601372597901565,0.283961503661318,0.5697198224407922,0.1469804756410778,0.1342523118609693,0.14061639375102356,0.10827075894666556,0.7281959999539317
0.3,0.2882701211495112,0.28487581533730405,0.2865729682434076,0.2746404059786689,0.5510186462311963,0.1748093989969191,0.17046896606310485,0.17263918253001198,0.14063150374636912,0.9458444689212757
0.4,0.28082729597755546,0.2766059945952058,0.2787166452863806,0.26617950017349046,0.5340432967881824,0.1840617159968665,0.15766397281262534,0.17086284440474592,0.13804203999373438,0.9284285279503328
0.5,0.28319865665305133,0.28905385270575124,0.2861262546794013,0.2738967361863491,0.549526600948395,0.18415607212311627,0.15428645603477004,0.16922126407894317,0.1373407811719749,0.9237120756606688
0.6,0.27219585061673984,0.277338995645753,0.2747674231312464,0.26268870848857806,0.5270396248352472,0.1902242755331818,0.15842186490663934,0.17432307021991056,0.14259073407749145,0.9590216527148658
0.7000000000000001,0.24157899621890466,0.23392988103662132,0.237754438627763,0.22547722186377372,0.45238118952168127,0.19706374554729109,0.16443475685714665,0.18074925120221885,0.1476702510054937,0.9931849295280596
0.8,0.20660729947076628,0.1978371999782122,0.20222224972448924,0.19001054404008588,0.3812234123872987,0.18926340984804685,0.17360136596569806,0.18143238790687244,0.14868353980729798,1.0
0.9,0.17664301576642621,0.1737925842689216,0.1752178000176739,0.16299267183341803,0.32701670775359715,0.1502828953487919,0.14826837789226277,0.14927563662052734,0.11651051628155737,0.7836140868892507
1.0,0.1600110684272414,0.15853666549061501,0.1592738669589282,0.14683158664292426,0.2945922753341936,0.12024606701049742,0.11906578365410406,0.11965592533230074,0.08720688273354318,0.5865268128978371
1.1,0.1661916054443598,0.1628007171352524,0.1644961612898061,0.15215409075145503,0.3052709626088927,0.09859684259176694,0.10649718758251384,0.1025470150871404,0.07012975054604666,0.471671246440182
