bins,weak_chaos_mean,weak_chaos_std,strong_chaos_mean,strong_chaos_std,weak_noise_mean,weak_noise_std,strong_noise_mean,strong_noise_std,weak_noise_minus_chaos_mean,weak_noise_minus_chaos_std,weak_noise_gt_chaos_fraction,strong_noise_minus_chaos_mean,strong_noise_minus_chaos_std,strong_noise_gt_chaos_fraction,strong_minus_weak_chaos_mean
4,0.05627450980392157,0.01213014141063742,0.07447058823529412,0.003280082143737489,0.18673529411764705,0.010767683255523103,0.18667156862745096,0.011928845777848565,0.13046078431372551,0.01667264886872763,1.0,0.11220098039215687,0.012331165642292492,1.0,0.018196078431372553
8,0.09294117647058824,0.01963331678621016,0.1228235294117647,0.005490476183330841,0.33416421568627447,0.01085183159170174,0.33408333333333334,0.011619213719136953,0.24122303921568622,0.02296550251563958,1.0,0.21125980392156862,0.01264256551126595,1.0,0.02988235294117647
16,0.14525490196078433,0.02687553724327332,0.18721568627450982,0.008346218412187,0.4272401960784314,0.009583882437505811,0.42711764705882355,0.010449030462244942,0.281985294117647,0.029237752802939256,1.0,0.23990196078431372,0.013199705238282677,1.0,0.04196078431372549
32,0.22086274509803921,0.034553181294382666,0.27639215686274515,0.010423851040346932,0.5502867647058823,0.010369691948245113,0.550328431372549,0.011276818817266113,0.3294240196078432,0.03686120334372344,1.0,0.2739362745098039,0.015329577262987365,1.0,0.05552941176470594
64,0.34137254901960784,0.04200184906495246,0.41243137254901957,0.017405492599346713,0.6772916666666666,0.010420562996783553,0.6772867647058823,0.011218395898092383,0.33591911764705884,0.04409831922759163,1.0,0.2648553921568628,0.020561687920507173,1.0,0.07105882352941173
128,0.5081176470588236,0.05261687161716661,0.5967058823529412,0.020305471864011094,0.8028259803921569,0.010384555754669416,0.8027132352941176,0.011228877977963032,0.2947083333333334,0.054303130326301574,1.0,0.2060073529411765,0.02285865087424158,1.0,0.08858823529411763
256,0.6662745098039216,0.04332884370318614,0.7205882352941176,0.00706230850791555,0.9263602941176471,0.010197682931352437,0.9263039215686274,0.01103155534725133,0.26008578431372553,0.04512517985269193,1.0,0.20571568627450978,0.012838904406494052,1.0,0.054313725490196085
